Ligand0,Receptor0,z_pval,z,perm_pval,fdr,selected
PTPRC,MRC1,0.0,85.44601464942927,0.0,0.0,True
CD80,CD274,3.4296556521873456e-146,25.720700733680783,0.0,0.0,True
CD80,CTLA4,2.208578145626447e-43,13.760295842297412,0.0,0.0,True
CD86,CTLA4,1.1119025388355288e-46,14.298873373292931,0.0,0.0,True
CDH1,CDH1,0.0,278.003775021262,0.0,0.0,True
CD69,KLRB1,0.0,55.215440924795466,0.0,0.0,True
PECAM1,PECAM1,0.0,235.44552295689036,0.0,0.0,True
NCAM1,NCAM1,0.0,138.55430906368437,0.0,0.0,True
CXCL12,CXCR4,0.0,53.879148670374306,0.0,0.0,True
PTN,SDC4,1.0,-99.6890458683136,1.0,1.0,False
